,Open,High,Low,Close,Volume,QuoteVolume
2022-09-08 16:11:00+09:00,2772270.0,2772842.0,2769971.0,2770930.0,3.22721765,8944430.84617174
2022-09-08 16:12:00+09:00,2770504.0,2770504.0,2763843.0,2765510.0,15.2947982,42300782.89034218
2022-09-08 16:13:00+09:00,2764954.0,2767938.0,2764954.0,2766733.0,6.38969637,17679946.67625266
2022-09-08 16:14:00+09:00,2766733.0,2771330.0,2766100.0,2770670.0,7.416708,20528928.95682386
2022-09-08 16:15:00+09:00,2770692.0,2771711.0,2770251.0,2771241.0,3.97199328,11005880.82005611
2022-09-08 16:16:00+09:00,2770788.0,2770788.0,2769565.0,2769565.0,2.97500723,8241121.71988589
2022-09-08 16:17:00+09:00,2769476.0,2769476.0,2757648.0,2762687.0,25.98195781,71781679.93351883
2022-09-08 16:18:00+09:00,2762104.0,2764592.0,2761736.0,2763674.0,19.73944512,54545859.96629405
2022-09-08 16:19:00+09:00,2763147.0,2764517.0,2760201.0,2760655.0,11.99932226,33144586.78896319
2022-09-08 16:20:00+09:00,2760730.0,2763269.0,2756033.0,2756527.0,16.35766061,45137305.85784835
2022-09-08 16:21:00+09:00,2756528.0,2761413.0,2753768.0,2759000.0,17.62624305,48614785.69434999
2022-09-08 16:22:00+09:00,2759651.0,2760991.0,2755750.0,2755870.0,11.23469228,30986224.37748081
2022-09-08 16:23:00+09:00,2755913.0,2755930.0,2751424.0,2753753.0,21.42950768,59002329.00557297
2022-09-08 16:24:00+09:00,2753755.0,2753755.0,2750000.0,2751357.0,17.66939603,48621328.65816837
2022-09-08 16:25:00+09:00,2751245.0,2751715.0,2747871.0,2749539.0,17.14174391,47139434.62956491
2022-09-08 16:26:00+09:00,2749929.0,2753766.0,2749346.0,2752806.0,15.63429682,43031130.45493322
2022-09-08 16:27:00+09:00,2752848.0,2755038.0,2752500.0,2753432.0,5.19992693,14318368.5706715
2022-09-08 16:28:00+09:00,2753552.0,2755669.0,2751722.0,2751997.0,11.59642712,31928605.56135663
